"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"958804987357917184","","","2018-01-31 20:51:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Neta a este paso la densidad poblacional tendrá que medirse en kilómetros cúbicos.","","","",""
"958767326568042496","","","2018-01-31 18:21:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cupagu: Mi cerebro. https://t.co/NJDJLnvRar","958721194424926211","619642637","2018-01-31 15:18:39 +0000","https://twitter.com/cupagu/status/958721194424926211/photo/1,https://twitter.com/cupagu/status/958721194424926211/photo/1"
"958739135258230785","","","2018-01-31 16:29:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Guest gets pet's pest.","","","",""
"958704534901219335","958549733106225153","57237891","2018-01-31 14:12:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@GeorginaHeredia Dino a las drogas jajajaja ah no vedá","","","",""
"958704090514690048","","","2018-01-31 14:10:41 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Apenas descubrí que el ícono de la app del reloj del iPhone muestra y mueve las manecillas como un reloj de adevis.","","","",""
"958509460409864192","","","2018-01-31 01:17:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","«Dinora» me suena a dinosaurio.","","","",""
"958503442762338305","","","2018-01-31 00:53:23 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I needed this. https://t.co/s7zmLArobu","","","","https://twitter.com/johnsowers/status/958376854326595584"
"958503096530939905","","","2018-01-31 00:52:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @califasqueen646: Vi a un wei con una tshirt que decía ""I ❤️ LV"" y les juro que automáticamente pensé que significaba ""I Love La Verga"",…","958486639248060416","77552883","2018-01-30 23:46:37 +0000",""
"958180531035754496","","","2018-01-30 03:30:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tomé 90 fotos del panorama desde arriba del Arco del Triunfo; ya se está procesando la imagen compuesta. Va a quedar muy cool (y HD), qué nervios.","","","",""
"958141471156158464","","","2018-01-30 00:55:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Voy a llorar un buen cuando Judi Dench y Maggie Smith se mueran :(","","","",""
